stage,seed,suite,model,modes,rho,n_samples,relative_l2_mean,relative_l2_median,mae_mean,mae_median,linf_mean,linf_median,interface_mae_mean,interface_mae_median,far_field_mae_mean,far_field_mae_median,jump_amplitude_error_mean,jump_amplitude_error_median,overshoot_mean,overshoot_median,spurious_jump_error_mean,spurious_jump_error_median,total_variation_error_mean,total_variation_error_median
A,0,ablation_shift_-1,shared_learnable_rho,8,0.007465560653954272,32,0.2415603516378219,0.2469877586809228,0.04099569662237245,0.045369403805093245,0.5820358868023232,0.5899581209519433,0.15077089733722948,0.1534655248362404,0.0161889425033489,0.014859715328150728,0.5461105673754644,0.5684013719945207,0.05705185989617553,0.05348540860325868,0.9099597427732138,0.8698151663297614,0.30890740930280397,0.28402851098280724
A,0,ablation_shift_-1,dual,8,0.0,32,0.2726862006324393,0.2906677510363001,0.03979505706807023,0.04276746786087238,0.6945550990807591,0.7032054024413383,0.15327608616062685,0.14913582978239506,0.013977820920805158,0.011253279112406847,0.5263979424057892,0.5411966825714387,0.06036236668094711,0.04786461874805453,0.9933428594806879,0.9172971110978803,0.3304331182682737,0.24543927412263888
A,0,ablation_shift_+1,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_shift_+1,shared,8,0.0,32,0.21572984560021075,0.24240193625758677,0.04044069031783931,0.04342756930424364,0.5776000051077788,0.615841175201221,0.15334958600670376,0.15113575240261817,0.01514074088520696,0.014689551917261425,0.5544594684940476,0.5639983119642179,0.058332874265892586,0.05396817076906707,0.7061010886793189,0.8627896635608552,0.27947812379051074,0.2761112678443114
A,0,ablation_shift_+1,shared_learnable_rho,8,0.007465560653954272,32,0.21519739181975567,0.2417281540223365,0.04053905366677712,0.043503593361746265,0.5757212735585925,0.6138078878754166,0.15346568381521067,0.15132083192193946,0.015238599501975293,0.014859715328150728,0.5547879008952245,0.5643994078647909,0.0584267792800636,0.054244168951954,0.7053587606139984,0.8621567258126202,0.28093744241852936,0.27668162004294816
A,0,ablation_shift_+1,dual,8,0.0,32,0.2635707010219292,0.2738187370554318,0.04011851432724976,0.040612555136500396,0.6987040973232748,0.7665709932161524,0.16027641702562306,0.16268051386007698,0.012991428508417302,0.010872932238819154,0.5398376355540401,0.5361755492643667,0.0776451696217945,0.04595274758307999,0.7892394567417176,0.9024770348437037,0.32105184755778815,0.25272607689440374
A,0,ablation_shift_+2,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_shift_+2,shared,8,0.0,32,0.27513781541594395,0.3029733432788005,0.05358784359044382,0.05609827171738513,0.5783716772711387,0.615841175201221,0.22506096627862263,0.22258703553230802,0.01514074088520696,0.014689551917261425,0.8349320716429439,0.8483836451500453,0.0593617704837058,0.05396817076906707,0.7078117949500567,0.8627896635608552,0.30359185499055186,0.2813819693430084
A,0,ablation_shift_+2,shared_learnable_rho,8,0.007465560653954272,32,0.27414776011876,0.30242518423592657,0.05358787827741403,0.0559318737519639,0.5764571809550194,0.6138078878754166,0.2246407018215493,0.22217552865673418,0.015238599501975293,0.014859715328150728,0.8331628259221455,0.8463895798688952,0.05940798914196616,0.054244168951954,0.7069049085447293,0.8621567258126202,0.3047457440463963,0.2840285109828071
A,0,ablation_shift_+2,dual,8,0.0,32,0.35097007519302026,0.3545518829921414,0.05887568075693306,0.06269665837533853,0.7123148485920496,0.7835451348351874,0.26259643027829144,0.2560854719057205,0.012991428508417302,0.010872932238819154,0.9483282857874683,0.9756979297679953,0.09379693650565842,0.04595274758307999,0.826843458995127,0.9024770348437037,0.37467177317693223,0.2749785338888352
A,0,ablation_shift_+4,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,ablation_shift_+4,shared,8,0.0,32,0.3439862277435748,0.35073081604697065,0.07718086951747613,0.08237919034649321,0.5793238493431884,0.615841175201221,0.3509874659995476,0.3470825790294034,0.01514074088520696,0.014689551917261425,0.8349320716429439,0.8483836451500453,0.06063133324643871,0.05396817076906707,0.7074621514985869,0.8627896635608552,0.3044475462881656,0.2813819693430084
A,0,ablation_shift_+4,shared_learnable_rho,8,0.007465560653954272,32,0.3422977394812292,0.34941255357297285,0.07698743210969852,0.08218597463562627,0.5773658098833643,0.6138078878754166,0.34953462043154987,0.34595068361941417,0.015238599501975293,0.014859715328150728,0.8331628259221455,0.8463895798688952,0.06061949437975942,0.054244168951954,0.7065365843094873,0.8621567258126202,0.3063492449999168,0.2840285109828071
A,0,ablation_shift_+4,dual,8,0.0,32,0.46515940764146835,0.4445138493809409,0.09446043685413372,0.09979049609299998,0.729230490296161,0.803332225852821,0.45250513815458854,0.4333577211654335,0.012991428508417302,0.010872932238819154,0.9483282857874683,0.9756979297679953,0.11634113833466704,0.04595274758307999,0.8445028156522759,0.9024770348437037,0.3551314098274184,0.2326057913536087
